cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,fuel (L/100km)
4,106.0,   63.00  ,2123.0,14.7,82,1,"   ""amc hornet""",6.189736842105264
8,400.0,   150.0  ,3760.0,8.5,70,1,"   ""dodge challenger se""",15.680666666666667
4,104.0,   70.00  ,2150.0,13.9,79,1,"   ""honda civic cvcc""",6.81768115942029
4,92.0,   68.00  ,-1971.0,17.6,82,3,"   ""volvo 264gl""",7.58741935483871
6,167.0,   120.0  ,3819.0,16.7,76,2,"   ""pontiac firebird""",14.255151515151516
4,67.0,   49.00  ,1865.0,18.5,73,2,"   ""dodge colt m/m""",8.110689655172415
6,200.0,   97.00  ,2773.0,14.5,70,1,"   ""buick skylark""",13.067222222222222
4,106.0,   74.00  ,1979.0,14.3,82,2,"   ""amc pacer""",6.533611111111111
6,250.0,   88.00  ,3302.0,14.5,71,1,"   ""cadillac eldorado""",12.379473684210527
8,400.0,   170.0  ,4669.0,10.5,75,1,"   ""plymouth fury iii""",14.700625
6,200.0,   90.00  ,2648.0,14.0,70,1,"   ""chevrolet cavalier wagon""",11.200476190476191
8,303.0,   130.0  ,4295.0,14.9,77,1,"   ""ford pinto""",15.680666666666667
4,89.0,   70.00  ,1938.0,15.0,75,2,"   ""mazda 626""",8.110689655172415
8,319.0,   140.0  ,4080.0,13.7,78,1,"   ""mercury lynx l""",13.44057142857143
6,231.0,   165.0  ,3445.0,14.4,78,1,"   ""datsun 210""",13.288700564971752
6,174.0,   115.0  ,2699.0,12.9,79,1,"   ""ford pinto""",8.776492537313432
4,97.0,   78.00  ,1941.0,14.5,77,2,"   ""subaru""",8.110689655172415
4,97.0,   68.00  ,2155.0,16.5,78,1,"   ""volkswagen model 111""",7.840333333333334
4,115.0,   81.00  ,2218.0,16.9,76,2,"   ""vokswagen rabbit""",9.4084
8,351.0,   180.0  ,4498.0,13.5,73,1,"   ""toyouta corona mark ii (sw)""",19.600833333333334
8,318.0,   150.0  ,4094.0,12.0,71,1,"   ""renault 5 gtl""",16.800714285714285
4,112.0,   95.00  ,2229.0,14.0,71,3,"   ""oldsmobile cutlass ciera (diesel)""",9.4084
4,104.0,   75.00  ,2228.0,13.5,78,1,"   ""mercury marquis""",7.611974110032363
4,97.0,   ?      ,2045.0,20.0,71,1,"   ""chevrolet chevelle malibu classic""",9.4084
6,201.0,   85.00  ,3068.0,15.7,78,1,"   ""amc hornet sportabout (sw)""",11.308173076923078
8,351.0,   125.0  ,3899.0,16.4,79,1,"   ""dodge charger 2.2""",10.226521739130435
8,304.0,   140.0  ,4213.0,13.0,76,1,"   ""chevrolet malibu""",13.44057142857143
8,401.0,   190.0  ,4423.0,11.5,72,1,"   ""amc concord dl""",18.093076923076925
4,84.0,   52.00  ,2033.0,22.2,76,1,"   ""chevrolet vega (sw)""",8.110689655172415
8,401.0,   190.0  ,4324.0,11.2,77,1,"   ""amc gremlin""",15.17483870967742
8,429.0,   198.0  ,4951.0,12.5,73,1,"   ""toyota celica gt liftback""",19.600833333333334
4,105.0,   70.00  ,2201.0,12.2,79,1,"   ""audi 5000s (diesel)""",6.877485380116958
4,112.0,   88.00  ,2396.0,18.0,82,1,"   ""volkswagen rabbit""",6.917941176470588
4,119.0,   87.00  ,2978.0,18.5,72,2,"   ""honda civic""",11.200476190476191
8,350.0,   180.0  ,3663.0,11.0,73,1,"   ""plymouth champ""",21.382727272727273
6,225.0,   100.0  ,3629.0,18.7,77,1,"   ""chevrolet nova""",12.379473684210527
4,99.0,   83.00  ,2219.0,15.5,74,2,"   ""ford galaxie 500""",8.110689655172415
4,140.0,   90.00  ,2407.0,20.5,72,1,"   ""volkswagen 1131 deluxe sedan""",11.7605
8,301.0,   140.0  ,4636.0,16.0,74,1,"   ""chevrolet caprice classic""",16.800714285714285
4,91.0,   75.00  ,2107.0,15.5,74,2,"   ""volkswagen rabbit""",9.800416666666667
4,87.0,   64.00  ,1874.0,16.4,81,1,"   ""toyota mark ii""",6.031025641025641
6,258.0,   110.0  ,3633.0,18.0,74,1,"   ""datsun 210 mpg""",14.700625
8,349.0,   170.0  ,4165.0,10.4,77,1,"   ""peugeot 504""",15.17483870967742
6,181.0,   110.0  ,2943.0,16.4,82,1,"   ""chevrolet monte carlo s""",9.4084
6,155.0,   108.0  ,-2931.0,14.5,76,3,"   ""ford mustang ii 2+2""",12.379473684210527
6,250.0,   72.00  ,3159.0,20.5,75,1,"   ""plymouth horizon miser""",15.680666666666667
4,101.0,   ?      ,2318.0,15.8,81,2,"   ""amc matador (sw)""",6.81768115942029
4,96.0,   67.00  ,2144.0,17.0,80,3,"   ""fiat 128""",6.958875739644971
4,97.0,   88.00  ,2131.0,15.5,71,3,"   ""datsun 710""",8.711481481481481
4,90.0,   53.00  ,1795.0,18.5,75,3,"   ""datsun 510""",7.127575757575758
6,250.0,   105.0  ,3898.0,19.5,75,1,"   ""mercury marquis brougham""",14.700625
4,99.0,   80.00  ,1915.0,14.4,79,1,"   ""amc ambassador sst""",6.588515406162465
6,232.0,   100.0  ,2635.0,13.0,71,1,"   ""ford ranger""",12.379473684210527
4,97.0,   68.00  ,2044.0,19.5,77,3,"   ""fiat 124 sport coupe""",7.466984126984127
8,303.0,   140.0  ,-4294.0,15.0,72,1,"   ""audi 100 ls""",18.093076923076925
4,120.0,   88.00  ,3269.0,21.9,76,2,"   ""oldsmobile starfire sx""",12.379473684210527
4,150.0,   90.00  ,3003.0,21.1,80,1,"   ""ford f108""",9.679423868312757
6,201.0,   88.00  ,3060.0,16.1,81,1,"   ""plymouth satellite custom""",11.644059405940595
6,232.0,   90.00  ,3086.0,18.6,76,1,"   ""datsun 200-sx""",10.453777777777779
4,122.0,   80.00  ,2669.0,16.0,79,1,"   ""chevy s-10""",8.584306569343067
4,121.0,   98.00  ,2945.0,15.5,75,2,"   ""chrysler new yorker brougham""",10.691363636363636
4,111.0,   87.00  ,-2672.0,18.5,70,2,"   ""datsun pl510""",9.4084
4,113.0,   91.00  ,2582.0,15.0,73,2,"   ""mazda rx-7 gs""",11.7605
6,231.0,   90.00  ,3209.0,16.0,75,1,"   ""pontiac phoenix""",12.379473684210527
6,249.0,   98.00  ,3526.0,19.0,77,1,"   ""datsun 710""",12.714054054054055
4,96.0,   75.00  ,2155.0,16.4,76,3,"   ""hi 1200d""",8.400357142857143
6,259.0,   110.0  ,3730.0,20.0,75,1,"   ""oldsmobile cutlass salon brougham""",15.680666666666667
4,80.0,   60.00  ,1761.0,15.100000000000001,81,3,"   ""volkswagen type 3""",6.701139601139601
6,226.0,   105.0  ,3612.0,17.5,74,1,"   ""amc concord""",13.067222222222222
8,352.0,   142.0  ,4052.0,13.3,79,1,"   ""chevrolet chevette""",15.17483870967742
4,99.0,   80.00  ,2165.0,15.0,72,1,"   ""plymouth horizon 4""",8.400357142857143
4,135.0,   95.00  ,2559.0,15.2,78,3,"   ""amc matador""",8.55309090909091
4,89.0,   62.00  ,1845.0,15.3,80,2,"   ""ford ltd""",7.892953020134228
4,135.0,   95.00  ,2515.0,13.8,78,3,"   ""plymouth volare""",11.14739336492891
4,84.0,   70.00  ,2071.0,19.6,78,3,"   ""dodge colt hardtop""",5.969796954314721
8,351.0,   180.0  ,4378.0,13.1,76,1,"   ""ford maverick""",14.255151515151516
